id,timestamp,source,rating,feedback_text,sentiment,category,issue_summary
2368,2024-02-06 18:30:00,survey_comment,1,Thank you to the agent Priya who handled my complaint so well (order #262315),positive,Staff/Support,Agent Priya handled complaint well
2092,2024-01-23 00:00:00,support_ticket,1,"Cannot add address, the save button is greyed out Agent Rahul was handling it.",negative,App Bug,Cannot add address due to greyed out save button
2437,2024-01-11 18:30:00,app_store_review,2,"Cannot add address, the save button is greyed out Agent Vikram was handling it.!!!!",negative,App Bug,Cannot add address due to greyed out save button
2254,2024-02-12 18:30:00,app_store_review,3,"My refund still hasn't come after 10 days, this is ridiculous (order #523158)",negative,Billing,Refund not received after 10 days
1126,N/A,survey_comment,3,Login button does nothing on the latest update Agent Rahul was handling it.!!!!,negative,App Bug,Login button not working after update
1768,2024-03-07 07:14:23,survey_comment,2,WHY IS THERE A SERVICE FEE I NEVER AGREED TO ON MY BILL,negative,Billing,Unagreed service fee on bill
1230,2024-03-11 07:21:55,app_store_review,1,Thank you to the agent Priya who handled my complaint so well (order #419457),positive,Staff/Support,Agent Priya handled complaint well
2670,N/A,support_ticket,1,Pedido llego tarde y faltaban articulos,negative,Delivery,Order arrived late with missing items
1244,2024-02-12 18:30:00,app_store_review,2,Coupon SAVE50 did not apply at checkout and I paid full price (order #491439),negative,Billing,Coupon did not apply at checkout
2098,2024-03-11 18:30:00,app_store_review,2,Nobody from support replied to my three emails (order #467476),negative,Staff/Support,Support did not reply to emails
1447,2024-02-10 00:00:00,support_ticket,1,Login button does nothing on the latest update (order #660957),negative,App Bug,Login button not working after update
1712,2024-02-20 18:30:00,support_ticket,2,"Package was left at the wrong door, I never received it",negative,Delivery,"Package left at wrong door, not received"
1703,25/03/2024,survey_comment,1,Thank you to the agent Priya who handled my complaint so well (order #456855),positive,Staff/Support,Agent Priya handled complaint well
1677,2024-01-05 18:30:00,survey_comment,,"Items were missing frooom my delivery, got only half the order (order #198123)",negative,Delivery,Missing items from delivery
1495,2024-01-17 00:00:00,support_ticket,4,"Super easy to use and quick checkout, well done team Agent Neha was handling it.",positive,Other,Super easy to use with quick checkout
1623,2024-01-24 18:30:00,app_store_review,2,SEARCH BAR SHOWS NO RESULTS EVEN FOR ITEMS THAT EXIST. THIS IS THE FIRST TIME.,negative,App Bug,Search bar shows no results for existing items
1501,2024-01-27 18:30:00,survey_comment,3,My order arrived almost an hour late and the food was cold Agent Vikram was handling it.,negative,Delivery,Order arrived late and food was cold
1018,2024-01-01 21:27:02,support_ticket,3,Customer care kept me on hold for 40 minutes then disconnected. This is the first time.,negative,Staff/Support,Customer care kept on hold and disconnected
2326,2024-03-10 18:30:00,survey_comment,1,Waited two hours and the order was finally cancelled by the app. This is the third time.,negative,Delivery,Order cancelled by app after two-hour wait
1478,2024-01-01 18:30:00,survey_comment,1,Notifications stopped working after the update. This is the fourth time.,negative,App Bug,Notifications stopped working after update
1376,2024-01-16 18:30:00,support_ticket,5,"Five stars, the app is fantastic and reliable - my milk order in Delhi",positive,Other,App is fantastic and reliable
2476,N/A,support_ticket,,Delivery persooon was rude and threw the bag on the floor. This is the fourth time.,negative,Delivery,Rude delivery person
1567,2024-03-02 00:00:00,app_store_review,4,"Five stars, the app is fantastic and reliable - my biryani order in Chennai",positive,Other,App is fantastic and reliable
1761,N/A,survey_comment,,"Package was left at the wrong door, I never received it. This is the second time.",negative,Delivery,"Package left at wrong door, not received"
1458,2024-02-17 00:00:00,survey_comment,3,App stuck on loading screen for 5 minutes then closed. This is the fourth time.,negative,App Bug,App stuck on loading screen and closed
1479,28/02/2024,app_store_review,5,"Love this app, ordering is so smooth and fast Agent Meera was handling it.",positive,Other,App is smooth and fast for ordering
2245,2024-02-23 18:30:00,app_store_review,1,"Package was left at the wrong door, I never received it - my thali order in Chennai",negative,Delivery,"Package left at wrong door, not received"
1180,2024-02-08 18:30:00,app_store_review,3,"Cannot add address, the save button is greyed out - my milk order in Delhi",negative,App Bug,Cannot add address due to greyed out save button
2791,2024-01-16 00:00:00,app_store_review,5,why is there a service fee i never agreed to on my bill,negative,Billing,Unagreed service fee on bill
1558,N/A,support_ticket,3,Works fine for me most of the time!!!!,neutral,Other,App works fine most of the time
1108,N/A,support_ticket,1,The support agent was very helpful and solved my issue quickly (order #602248),positive,Staff/Support,Support agent was helpful and solved issue quickly
1148,2024-02-01 18:30:00,support_ticket,1,"  Items were missing from my delivery, got only half the order   ",negative,Delivery,Missing items from delivery
2606,2024-03-21 18:30:00,survey_comment,,What are your office timings on weekends,neutral,Other,Inquiry about weekend office timings
1621,2023-12-31 18:30:00,survey_comment,3,"  I was charged twice for the same order, please refund the extra amount - my fruits order in Pune   ",negative,Billing,"Charged twice for same order, requesting refund"
1726,2024-03-02 18:30:00,support_ticket,,Thank you to the agent Priya who handled my complaint so well Agent Anil was handling it.,positive,Staff/Support,Agent Priya handled complaint well
1254,2024-03-02 18:30:00,survey_comment,,"Super easy to use and quick checkout, well done team - my fruits order in Chennai",positive,Other,Super easy to use with quick checkout
2787,2024-03-23 18:30:00,app_store_review,3,Works fine for me most of the time.,neutral,Other,App works fine most of the time
2194,2024-01-24 18:30:00,app_store_review,3,ok i guess,neutral,Other,Indifferent feedback
2108,N/A,app_store_review,1,Coupon SAVE50 did not apply at checkout and I paid full price (order #160006),negative,Billing,Coupon did not apply at checkout
1600,2024-01-18 00:00:00,app_store_review,1,App keeps crashing every time I open the cart Agent Vikram was handling it.!!!!,negative,App Bug,App keeps crashing when opening cart
1955,N/A,support_ticket,1,COUPON SAVE50 DID NOT APPLY AT CHECKOUT AND I PAID FULL PRICE,negative,Billing,Coupon did not apply at checkout
2718,2024-03-01 07:41:22,app_store_review,5,"I was charged twice for the same order, please refund the extra amount",negative,Billing,"Charged twice for same order, requesting refund"
2056,2024-02-07 18:30:00,survey_comment,2,"My refund still hasn't come after 10 days, this is ridiculous",negative,Billing,Refund not received after 10 days
2242,2024-12-01 18:30:00,survey_comment,2,The store staff was friendly when I picked up my order - my fruits order in Mumbai,positive,Staff/Support,Store staff was friendly during pickup
1207,2024-03-23 18:30:00,app_store_review,2,App keeps crashing every time I ooopen the cart,negative,App Bug,App keeps crashing when opening cart
2793,2024-02-05 22:59:37,app_store_review,3,App stuck on loading screen for 5 minutes then closed (order #220898),negative,App Bug,App stuck on loading screen and closed
2452,2024-01-26 06:20:05,support_ticket,,"Double deduction on my card for order, need this reversed asap. This is the fourth time.",negative,Billing,Double deduction on card for order
2147,2024-09-01 18:30:00,survey_comment,1,Waited two hours and the order was finally cancelled by the app (order #831618)!!!!,negative,Delivery,Order cancelled by app after two-hour wait
1920,N/A,support_ticket,1,Search bar shows no results even for items that exist. This is the first time.,negative,App Bug,Search bar shows no results for existing items
1291,2024-03-19 18:30:00,app_store_review,1,Login button does nothing on the latest update (order #567676),negative,App Bug,Login button not working after update
1667,2024-02-23 18:30:00,survey_comment,,Search bar shows no results even for items that exist (order #952924),negative,App Bug,Search bar shows no results for existing items
1504,2024-01-18 00:00:00,survey_comment,3,My order arrived almost an hour late and the food was cold (order #673929),negative,Delivery,Order arrived late and food was cold
1869,2024-01-13 00:00:00,app_store_review,2,App stuck on loading screen for 5 minutes then closed (order #102342),negative,App Bug,App stuck on loading screen and closed
1195,2024-01-23 18:30:00,app_store_review,1,Delivery person was rude and threw the bag on the floor Agent Neha was handling it.,negative,Delivery,Rude delivery person
2779,2024-03-25 18:30:00,support_ticket,5,"Super easy to use and quick checkout, well done team - my milk order in Mumbai",positive,Other,Super easy to use with quick checkout
2462,2024-07-31 18:30:00,survey_comment,1,The map screen freezes and I cannot place an order (order #322623),negative,App Bug,"Map screen freezes, unable to place order"
2396,N/A,app_store_review,4,"Super easy to use and quick checkout, well done team",positive,Other,Super easy to use with quick checkout
2148,N/A,support_ticket,,Order marked delivered but nothing arrived at my place (order #884346),negative,Delivery,Order marked delivered but not received
2313,N/A,app_store_review,1,"Cannot add address, the save button is greyed out - my burger order in Mumbai",negative,App Bug,Cannot add address due to greyed out save button
1157,2024-02-21 18:30:00,app_store_review,,"My refund still hasn't come after 10 days, this is ridiculous - my sushi order in Pune",negative,Billing,Refund not received after 10 days
1314,2024-06-30 18:30:00,survey_comment,3,meh!!!!,neutral,Other,Indifferent feedback
1815,2024-02-07 20:28:52,survey_comment,5,"Great experience overall, food always fresh Agent Neha was handling it.",positive,Other,"Great experience, fresh food"
2262,N/A,survey_comment,1,Order marked delivered but nothing arrived at my place (order #248249),negative,Delivery,Order marked delivered but not received
2143,2024-03-08 18:30:00,survey_comment,,"Great experience overall, food always fresh. This is the second time.",positive,Other,"Great experience, fresh food"
2008,2024-01-02 18:30:00,app_store_review,1,The suppooort agent was very helpful and solved my issue quickly. This is the second time.,positive,Staff/Support,Support agent was helpful and solved issue quickly
2797,2024-01-21 00:00:00,app_store_review,,"great experience overall, food always fresh",positive,Other,"Great experience, fresh food"
2758,2024-03-11 18:30:00,support_ticket,5,"Looove this app, ordering is so smooth and fast (order #941356)",positive,Other,App is smooth and fast for ordering
1121,2024-01-23 11:05:53,support_ticket,2,"DOUBLE DEDUCTION ON MY CARD FOR ORDER, NEED THIS REVERSED ASAP AGENT ANIL WAS HANDLING IT.",negative,Billing,Double deduction on card for order
1759,2024-02-20 18:30:00,support_ticket,2,App keeps crashing every time I open the cart (order #426806),negative,App Bug,App keeps crashing when opening cart
1966,18/02/2024,survey_comment,1,Thank you to the agent Priya who handled my complaint so well (order #322481),positive,Staff/Support,Agent Priya handled complaint well
2051,2024-02-16 13:31:10,support_ticket,5,"Great experience overall, food always fresh",positive,Other,"Great experience, fresh food"
2097,23/01/2024,support_ticket,2,"Items were missing from my delivery, got only half the order - my pizza order in Bangalore",negative,Delivery,Missing items from delivery
1597,2024-02-25 18:30:00,app_store_review,2,Chat support gave me copy paste answers that did not help - my sushi order in Hyderabad,negative,Staff/Support,Chat support provided unhelpful copy-paste answers
1705,N/A,survey_comment,,"My refund still hasn't come after 10 days, this is ridiculous (order #223794)",negative,Billing,Refund not received after 10 days
1141,2024-01-10 18:30:00,support_ticket,1,Got charged for a subscription I cancelled last month (order #185569),negative,Billing,Charged for cancelled subscription
1324,2024-11-30 18:30:00,app_store_review,,Waited two hours and the order was finally cancelled by the app (order #597635),negative,Delivery,Order cancelled by app after two-hour wait
1492,2024-03-22 18:30:00,app_store_review,,"Great experience overall, food always fresh (order #917707)",positive,Other,"Great experience, fresh food"
2155,2024-01-11 18:30:00,survey_comment,1,Search bar shows no results even for items that exist (order #755879),negative,App Bug,Search bar shows no results for existing items
1553,2024-11-02 18:30:00,support_ticket,5,"Best delivery service in my city, never had an issue Agent Meera was handling it.",positive,Other,"Best delivery service, no issues"
1594,2024-03-03 18:30:00,survey_comment,,WHY IS THERE A SERVICE FEE I NEVER AGREED TO ON MY BILL (ORDER #180685),negative,Billing,Unagreed service fee on bill
1599,2024-02-01 18:30:00,app_store_review,3,"Average experience, could be better!!!!",neutral,Other,Average experience
1864,2024-01-27 18:30:00,support_ticket,,The support agent was very helpful and solved my issue quickly,positive,Staff/Support,Support agent was helpful and solved issue quickly
1128,2024-01-17 00:00:00,support_ticket,,Delivery person was rude and threw the bag on the floor,negative,Delivery,Rude delivery person
2305,2024-01-03 00:00:00,app_store_review,3,"My refund still hasn't cooome after 10 days, this is ridiculous (order #245453)",negative,Billing,Refund not received after 10 days
2181,2024-03-10 18:30:00,survey_comment,5,"Best delivery service in my city, never had an issue",positive,Other,"Best delivery service, no issues"
1873,2024-02-21 18:30:00,support_ticket,1,"ITEMS WERE MISSING FROM MY DELIVERY, GOT ONLY HALF THE ORDER. THIS IS THE THIRD TIME.",negative,Delivery,Missing items from delivery
1990,2024-02-18 16:01:16,app_store_review,5,"Love this app, ordering is so smooth and fast - my milk order in Hyderabad",positive,Other,App is smooth and fast for ordering
1414,2024-02-19 18:30:00,app_store_review,1,My order arrived almost an hour late and the food was cold,negative,Delivery,Order arrived late and food was cold
2466,2024-01-13 18:30:00,survey_comment,5,"SUPER EASY TO USE AND QUICK CHECKOUT, WELL DONE TEAM (ORDER #842561)",positive,Other,Super easy to use with quick checkout
2017,2024-02-15 18:30:00,support_ticket,3,WHY IS THERE A SERVICE FEE I NEVER AGREED TO ON MY BILL (ORDER #797576),negative,Billing,Unagreed service fee on bill
1331,2024-03-01 18:30:00,app_store_review,3,Delivery person was rude and threw the bag on the floor (order #538897),negative,Delivery,Rude delivery person
2682,2024-01-01 15:06:10,survey_comment,1,"App bahut acchi hai, bahut fast hai",positive,Other,App is very good and fast
1823,2024-01-01 00:00:00,support_ticket,1,"My refund still hasn't come after 10 days, this is ridiculous - my burger order in Hyderabad",negative,Billing,Refund not received after 10 days
1532,2024-02-25 00:00:00,support_ticket,2,The new version drains my battery so fast (order #214027),negative,App Bug,New app version drains battery fast
1663,2024-02-26 00:35:26,support_ticket,,"Items were missing from my delivery, got only half the order (order #820861)",negative,Delivery,Missing items from delivery
1991,2024-01-16 00:00:00,support_ticket,2,Got charged for a subscription I cancelled last month - my milk order in Delhi,negative,Billing,Charged for cancelled subscription
1904,2024-02-16 18:30:00,support_ticket,,ok i guess!!!!,neutral,Other,Indifferent feedback
1210,2024-02-11 18:30:00,survey_comment,2,Waited two hours and the order was finally cancelled by the app - my sushi order in Kolkata,negative,Delivery,Order cancelled by app after two-hour wait
2698,2024-02-14 11:50:34,app_store_review,2,Le livreur etait tres impoli et la commande etait froide,negative,Delivery,Rude delivery person and cold order
1382,2024-01-17 18:30:00,app_store_review,,Order marked delivered but nothing arrived at my place (order #176806),negative,Delivery,Order marked delivered but not received
1144,2024-03-20 18:30:00,app_store_review,4,"Super easy to use and quick checkout, well done team (order #977330)",positive,Other,Super easy to use with quick checkout
1693,2024-03-04 18:30:00,support_ticket,3,"It is oookay, nothing special",neutral,Other,"Okay experience, nothing special"
2067,17/01/2024,survey_comment,1,My order arrived almost an hour late and the food was cold - my fruits order in Delhi,negative,Delivery,Order arrived late and food was cold
2339,2024-01-14 18:30:00,support_ticket,5,"Great experience overall, food always fresh - my milk order in Bangalore",positive,Other,"Great experience, fresh food"
1846,2024-01-21 18:30:00,app_store_review,3,Customer care kept me on hold for 40 minutes then disconnected Agent Neha was handling it.,negative,Staff/Support,Customer care kept on hold and disconnected
1169,2024-02-17 01:43:37,support_ticket,1,Waited two hours and the order was finally cancelled by the app - my fruits order in Hyderabad,negative,Delivery,Order cancelled by app after two-hour wait
2293,N/A,survey_comment,1,Login button does nothing on the latest update!!!!,negative,App Bug,Login button not working after update
1540,2024-03-27 18:30:00,app_store_review,,"Super easy to use and quick checkout, well done team - my biryani order in Hyderabad",positive,Other,Super easy to use with quick checkout
2519,2024-02-24 18:30:00,app_store_review,5,"Brilliant, my refund is 'on the way' for the third week now, lovely!!!!",negative,Billing,Refund delayed for three weeks
2386,N/A,survey_comment,3,The stooore staff was friendly when I picked up my order,positive,Staff/Support,Store staff was friendly during pickup
1987,N/A,app_store_review,2,Search bar shows no results even for items that exist (order #814544),negative,App Bug,Search bar shows no results for existing items
2073,2024-02-20 18:30:00,app_store_review,2,The new version drains my battery so fast Agent Neha was handling it.,negative,App Bug,New app version drains battery fast
2196,2024-02-07 18:30:00,survey_comment,1,Delivery person was rude and threw the bag on the floor (order #968454),negative,Delivery,Rude delivery person
2379,2024-03-13 18:30:00,app_store_review,2,Customer care kept me on hold for 40 minutes then disconnected Agent Anil was handling it.,negative,Staff/Support,Customer care kept on hold and disconnected
1890,2024-03-14 18:30:00,app_store_review,2,Login button does nothing on the latest update. This is the first time.,negative,App Bug,Login button not working after update
1443,2024-02-24 18:30:00,app_store_review,1,Why is there a service fee I never agreed to on my bill - my sushi order in Delhi,negative,Billing,Unagreed service fee on bill
1137,2024-02-25 18:30:00,app_store_review,3,Food was spilled all over the bag when it reached me - my burger order in Hyderabad,negative,Delivery,Food spilled in bag upon delivery
1696,N/A,support_ticket,,"  Five stars, the app is fantastic and reliable. This is the third time.   ",positive,Other,App is fantastic and reliable
2461,2024-01-19 18:30:00,app_store_review,2,The map screen freezes and I cannot place an order,negative,App Bug,"Map screen freezes, unable to place order"
1932,25/02/2024,app_store_review,1,Thank you to the agent Priya who handled my complaint so well (order #289030),positive,Staff/Support,Agent Priya handled complaint well
1448,2024-02-12 17:20:02,support_ticket,1,"I was charged twice for the same order, please refund the extra amount - my milk order in Hyderabad",negative,Billing,"Charged twice for same order, requesting refund"
1386,2024-03-17 20:49:13,support_ticket,1,"Items were missing from my delivery, got only half the order (order #105274)",negative,Delivery,Missing items from delivery
1039,2024-03-10 18:30:00,survey_comment,2,"Package was left at the wrong door, I never received it - my groceries order in Chennai",negative,Delivery,"Package left at wrong door, not received"
1895,2024-03-06 18:30:00,support_ticket,,Nobody from support replied to my three emails (order #563664),negative,Staff/Support,Support did not reply to emails
1358,N/A,app_store_review,1,Thank you to the agent Priya who handled my complaint so well,positive,Staff/Support,Agent Priya handled complaint well
2244,N/A,app_store_review,2,"Package was left at the wrong door, I never received it (order #336802)",negative,Delivery,"Package left at wrong door, not received"
2023,N/A,app_store_review,5,"Five stars, the app is fantastic and reliable",positive,Other,App is fantastic and reliable
1952,2024-01-17 18:30:00,app_store_review,3,"  I was charged twice for the same order, please refund the extra amount. This is the second time.   ",negative,Billing,"Charged twice for same order, requesting refund"
1036,2024-01-08 18:30:00,survey_comment,,Search bar shooows no results even for items that exist (order #792094),negative,App Bug,Search bar shows no results for existing items
1795,2024-01-08 18:30:00,survey_comment,3,The new version drains my battery so fast (order #804005),negative,App Bug,New app version drains battery fast
1106,2024-05-02 18:30:00,app_store_review,1,Payment failed but money got deducted from my account. This is the first time.!!!!,negative,Billing,Payment failed but money deducted
1330,2024-03-13 00:00:00,survey_comment,2,Payment failed but money got deducted from my account,negative,Billing,Payment failed but money deducted
2609,2024-03-15 00:00:00,survey_comment,,Is there a referral program for inviting friends,neutral,Other,Inquiry about referral program
2324,2024-02-15 18:30:00,support_ticket,2,Driver could not find my building and just cancelled - my biryani order in Delhi,negative,Delivery,Driver cancelled order after failing to find building
2534,2024-01-22 06:53:39,app_store_review,4,"Brilliant, my refund is 'on the way' for the third week now, lovely",negative,Billing,Refund delayed for three weeks
1364,N/A,support_ticket,,OK I GUESS,neutral,Other,Indifferent feedback
2124,2024-02-18 18:30:00,app_store_review,,Payment failed but money got deducted from my account Agent Rahul was handling it.,negative,Billing,Payment failed but money deducted
1949,2024-02-17 18:30:00,support_ticket,5,"Five stars, the app is fantastic and reliable - my biryani order in Delhi",positive,Other,App is fantastic and reliable
1748,2024-03-14 16:11:03,app_store_review,1,Nobody from support replied to my three emails (order #687324),negative,Staff/Support,Support did not reply to emails
1445,2024-03-25 18:30:00,app_store_review,2,The map screen freezes and I cannot place an order - my burger order in Delhi,negative,App Bug,"Map screen freezes, unable to place order"
1117,2024-02-14 23:53:19,survey_comment,,"Love this app, ordering is so smooth and fast (order #656251)",positive,Other,App is smooth and fast for ordering
1043,2024-08-01 18:30:00,app_store_review,1,Customer care kept me on hold for 40 minutes then disconnected!!!!,negative,Staff/Support,Customer care kept on hold and disconnected
2616,2024-03-10 18:30:00,survey_comment,,"Random question, who designed your logo it looks nice",neutral,Other,Inquiry about logo design
2637,2024-01-01 18:30:00,survey_comment,3,?????,neutral,Other,Unclear feedback
1166,2024-03-11 05:16:55,app_store_review,5,"Best delivery service in my city, never had an issue - my sushi ooorder in Hyderabad",positive,Other,"Best delivery service, no issues"
1804,2024-07-31 18:30:00,app_store_review,1,"Cannot add address, the save button is greyed out - my burger order in Delhi",negative,App Bug,Cannot add address due to greyed out save button
2394,2024-02-07 18:30:00,app_store_review,2,The invoice amount does not match what the app showed me (order #581827),negative,Billing,Invoice amount does not match app display
1925,2024-03-01 18:30:00,survey_comment,,"Great experience overall, food always fresh (order #753756)",positive,Other,"Great experience, fresh food"
2511,2024-03-24 18:30:00,app_store_review,5,"Perfect, the app froze again, what a wonderful feature",negative,App Bug,App froze again
1417,2024-02-24 18:30:00,survey_comment,,APP KEEPS CRASHING EVERY TIME I OPEN THE CART - MY PIZZA ORDER IN MUMBAI,negative,App Bug,App keeps crashing when opening cart
1155,13/02/2024,support_ticket,,ORDER MARKED DELIVERED BUT NOTHING ARRIVED AT MY PLACE - MY GROCERIES ORDER IN DELHI,negative,Delivery,Order marked delivered but not received
1079,14/01/2024,app_store_review,2,Payment failed but money got deducted from my account Agent Sana was handling it.,negative,Billing,Payment failed but money deducted
2439,2024-01-13 18:30:00,support_ticket,,Login button does nothing on the latest update (order #921251)!!!!,negative,App Bug,Login button not working after update
2658,2023-12-31 18:30:00,app_store_review,1,aaaaaaaaaaaaaaa,neutral,Other,Unclear feedback
1534,2024-03-18 18:30:00,survey_comment,,"Cannot add address, the save button is greyed out (order #814622)",negative,App Bug,Cannot add address due to greyed out save button
1797,2024-01-24 18:30:00,support_ticket,,"  Super easy to use and quick checkout, well done team (order #104892)   ",positive,Other,Super easy to use with quick checkout
2048,2024-03-17 18:30:00,app_store_review,1,Customer care kept me on hold for 40 minutes then disconnected Agent Arjun was handling it.,negative,Staff/Support,Customer care kept on hold and disconnected
1168,2024-02-26 18:30:00,support_ticket,2,The new version drains my battery so fast,negative,App Bug,New app version drains battery fast
2768,2024-11-02 18:30:00,app_store_review,1,My order arrived almost an hour late and the food was cold - my thali order in Mumbai,negative,Delivery,Order arrived late and food was cold
1691,N/A,app_store_review,1,My order arrived almost an hour late and the food was cold - my pizza order in Mumbai,negative,Delivery,Order arrived late and food was cold
1427,2024-03-01 18:30:00,app_store_review,2,Login button does nothing on the latest update (order #938095),negative,App Bug,Login button is non-functional after the latest update.
2074,20/02/2024,support_ticket,,"Great experience overall, food always fresh Agent Arjun was handling it.",positive,Other,Great experience with fresh food.
1843,24/03/2024,survey_comment,5,"Great experience oooverall, food always fresh",positive,Other,Great experience with fresh food.
2331,2024-01-27 00:00:00,survey_comment,2,The invoice amount does not match what the app showed me. This is the fourth time.!!!!,negative,Billing,Invoice amount does not match the amount shown in the app.
2286,2024-03-28 16:20:39,app_store_review,5,"Best delivery service in my city, never had an issue (ooorder #847204)",positive,Delivery,Best delivery service with no issues.
1405,2024-03-19 18:30:00,support_ticket,1,Chat support gave me copy paste answers that did not help (order #818894),negative,Staff/Support,Chat support provided unhelpful copy-paste answers.
2810,2024-02-16 18:30:00,app_store_review,,The new version drains my battery so fast. This is the fourth time.,negative,App Bug,New app version drains battery quickly.
1313,2024-03-12 18:30:00,support_ticket,4,"Super easy to use and quick checkout, well done team. This is the second time.",positive,Other,App is super easy to use with quick checkout.
